,raw_rate,fidelity,fidelity_err,key_per_time,key_per_time_err
1000.0,676237.684020894,0.9606327795713272,2.380219227989828e-08,439008.0963501288,0.1325211253708166
4158.730158730159,128910.10435455584,0.9605436592314204,1.4799677793587554e-07,83627.0721337399,0.1570434159370333
7317.460317460317,56745.38467495188,0.9604316406410404,3.319958400706855e-07,36778.76060980564,0.1550363783667272
10476.190476190475,31444.478484332747,0.9602946064465212,5.769887000066886e-07,20357.76184704662,0.1492617292703803
13634.920634920634,19586.97200849446,0.9601295348167058,9.17811601898465e-07,12664.090102378805,0.147842009224912
16793.65079365079,13058.355539897304,0.9599296275151946,1.3518279359293691e-06,8429.359223890444,0.1451092929783029
19952.38095238095,9116.121045695962,0.9596872849666864,1.913317381504665e-06,5873.101367024007,0.1433020878041478
23111.11111111111,6574.128743500008,0.959398475797974,2.616650049344873e-06,4225.567471783766,0.1412435057873356
26269.84126984127,4874.786184043015,0.9590494381106656,3.4855980576066765e-06,3124.5124778173167,0.1394103139414063
29428.571428571428,3676.207403449876,0.9586199487839387,4.646450434708944e-06,2348.156726208934,0.1400210219016067
32587.301587301587,2814.0052780046326,0.958112085719166,6.027192282264187e-06,1790.113990906648,0.138886252451615
35746.031746031746,2187.092003302748,0.9574969244924216,7.767949358936383e-06,1384.459376103649,0.1389494897758156
38904.7619047619,1716.1543065238209,0.956764210120761,9.702915410675076e-06,1079.993298612003,0.135994218830605
42063.49206349206,1357.0989322663318,0.9558777945911062,1.232208930845868e-05,848.0045831642494,0.1363417055310681
45222.22222222222,1081.5953098181692,0.9548091802019224,1.5491419347538398e-05,670.1116513528927,0.1363456448264982
48380.95238095238,866.0818701788979,0.9535375200587652,1.916946268497231e-05,531.1789108489736,0.1347989058263806
51539.68253968254,700.4278911653065,0.9520352319379488,2.357541813789405e-05,424.4783828012868,0.1337363206926756
54698.41269841269,565.7265004236339,0.9501367666816664,2.912269509347442e-05,337.7169321234929,0.133034018775131
57857.142857142855,461.171845327608,0.9480672092973664,3.5053257756660625e-05,270.8199708614892,0.1301298026687483
61015.87301587301,377.457039726867,0.9455013159846632,4.245982265486789e-05,217.1985418841682,0.1285530047924834
64174.60317460317,310.3775662730563,0.9426005122700972,5.056002026695677e-05,174.54143806572813,0.1254025076248089
67333.33333333333,254.7559838405849,0.9389762107916494,6.092753001699404e-05,139.20449595560524,0.1235037405530218
70492.06349206349,211.57112603948664,0.9350944843692728,7.1516191872519e-05,112.09373522722753,0.1198853161473034
73650.79365079365,173.67173680932115,0.9298660014236292,8.600427690920407e-05,88.25219268936506,0.1177416604248797
76809.5238095238,143.9250638742663,0.9241378467992362,0.0001009318600155,69.84075803254197,0.1139342451055788
79968.25396825396,119.56177503803046,0.9177927702586072,0.0001174560005289,55.09701510523157,0.1095908457411219
83126.98412698413,99.29089972282752,0.909972109479127,0.0001365015943306,42.88895415333887,0.1051886268640001
86285.71428571428,82.74027665023932,0.9015067534905684,0.0001561389693163,33.2686113850389,0.0997351464760258
89444.44444444444,69.20751246677371,0.8915741457344416,0.0001785209781775,25.51826343430456,0.0948581485039897
92603.1746031746,57.83512010798183,0.8807102960528964,0.0002020614655516,19.32259941153858,0.0892449559642066
95761.90476190476,48.25381782034572,0.8675565572980711,0.0002277194389646,14.214341076492476,0.0834404854798651
98920.63492063491,40.56150366136468,0.8542407540914256,0.0002511892449812,10.421693131235434,0.0769682849196862
102079.36507936507,33.925185640877245,0.8385942359063664,0.0002775048550167,7.312129677668571,0.0707379733163305
105238.09523809524,28.599454401320067,0.822794572016052,0.0002995995850961,5.047856208703273,0.064060715628772
108396.82539682538,23.98990488745081,0.804833280898023,0.0003238144384332,3.245464997230072,0.0577825684776522
111555.55555555555,20.177906456540263,0.7855901621790093,0.0003432593963593,1.9073499607300888,0.0512601788416674
114714.28571428571,17.073109644120986,0.7665764542576835,0.0003605347351072,0.9798273096336984,0.0453373837528529
117873.01587301587,14.301271881653896,0.7448635178607298,0.0003750891058166,0.2667692411074361,0.0393109215221268
121031.74603174602,12.062604487632218,0.7235791396797211,0.0003862693370643,-0.1918586165285738,0.0339775673771401
