,raw_rate,fidelity,fidelity_err,key_per_time,key_per_time_err
1000.0,4374261.843313748,0.9606549109792468,1.470885244585573e-09,2840241.013416967,0.0529752861704831
4476.190476190476,3390361.364087529,0.9606525723599784,2.283864327090717e-09,2201333.4811423803,0.0637528039042313
7952.380952380952,2786077.044316895,0.9606499596323312,2.798862354499223e-09,1808926.9651971904,0.064202195816704
11428.571428571428,2315664.8108263384,0.9606469224690354,3.410931942457295e-09,1503452.4767367274,0.0650301686100672
14904.761904761905,1935639.078893557,0.9606433807132227,4.059680936807038e-09,1256672.645818849,0.0646951588625228
18380.95238095238,1635111.6080463603,0.9606392635753233,4.789771904769941e-09,1061515.3609980834,0.0644770730032354
21857.142857142855,1386207.2379818305,0.9606344390057948,5.707421408508716e-09,899880.6224813245,0.0651323330911879
25333.333333333332,1170649.4763292633,0.960628776994637,6.7714534241826315e-09,759902.088695179,0.0652559711718564
28809.52380952381,996194.0642961162,0.9606221764346756,8.072622633124629e-09,646612.9497851001,0.0661988056880397
32285.714285714286,844356.2025199345,0.9606144185125082,9.555901955369113e-09,548012.6020185086,0.066414906879225
35761.90476190476,718567.2999866985,0.9606053677521807,1.1232939158868225e-08,466327.1746404172,0.066435729770755
39238.09523809524,612155.4839948086,0.9605947483811136,1.3399821606039572e-08,397224.7133266484,0.0675102306827742
42714.28571428571,520501.049181325,0.9605822989076116,1.5846005326384085e-08,337706.1541760413,0.0678754511994233
46190.47619047619,444233.2808573404,0.960567750183766,1.867434291933473e-08,288178.53744153865,0.0682627618892985
49666.666666666664,379614.2107314111,0.960550769908908,2.1711887448707465e-08,246215.24572552412,0.0678134975505672
53142.857142857145,322090.5332070697,0.9605307282661943,2.588332704348701e-08,208861.53701127256,0.0685825958298761
56619.04761904762,274842.237283876,0.960507343752954,3.049075903300146e-08,178179.02181094812,0.0689282293647734
60095.23809523809,234988.0933771169,0.9604799805746548,3.5685948026029874e-08,152297.65845031885,0.0689613986115086
63571.42857142857,200211.07968115763,0.9604478801860749,4.2310790054395166e-08,129714.35129567172,0.0696475184701991
67047.61904761905,170337.36938267408,0.9604103063009448,4.944663829001708e-08,110315.67419012444,0.0692309213303609
70523.80952380953,145674.1438661241,0.9603663957712684,5.774413748733192e-08,94299.173036304,0.0691212555689221
74000.0,124013.16523762498,0.9603148231624024,6.83939500948823e-08,80233.58947001626,0.0696709823405063
77476.19047619047,105863.41673371143,0.9602544026090964,8.04218865991877e-08,68447.35503904306,0.0699045570678671
80952.38095238095,90291.1903788472,0.9601838803370372,9.408216308436557e-08,58335.33814292032,0.0697150156565117
84428.57142857142,77058.33547170366,0.9601010306439756,1.1039449238126742e-07,49742.20333576336,0.0697738802208636
87904.76190476191,65958.20850218993,0.9600043422485204,1.2924228923685413e-07,42533.30787513693,0.0698730784845764
91380.95238095238,56084.592016241375,0.9598906854407396,1.5149438800968394e-07,36122.76255899871,0.0695885374176997
94857.14285714286,47990.855959422624,0.9597579584402908,1.778839907310134e-07,30866.298864927085,0.0698549808672366
98333.33333333333,40951.13655784437,0.9596024750348182,2.0863577315683362e-07,26295.14507516548,0.0698384456995658
101809.5238095238,34993.273709571826,0.959419930182314,2.448637198333166e-07,22426.063892747992,0.0699533768775817
105285.71428571429,29879.855236369986,0.9592067698870282,2.865658814002177e-07,19105.72016099028,0.0698027791806474
108761.90476190476,25557.153553767905,0.9589577538401896,3.322724927783219e-07,16298.468247139328,0.0691102263856089
112238.09523809524,21790.175386838957,0.9586648708274682,3.933757752051652e-07,13852.936210269723,0.0696220076968408
115714.28571428571,18588.28112438388,0.9583226611653904,4.604614082567505e-07,11774.340129890896,0.0693605795273544
119190.47619047618,15909.041133075714,0.9579225939814684,5.372051307732916e-07,10034.288061853253,0.0690722156681457
122666.66666666667,13578.869468590954,0.9574540147282812,6.248204134491283e-07,8521.780843982744,0.0683577675953827
126142.85714285714,11601.336255168617,0.9569061628585376,7.30583563388863e-07,7238.107330140707,0.0680423628467614
129619.04761904762,9935.363411630462,0.9562652214931892,8.53412581574772e-07,6156.165479820545,0.0677838510302765
133095.2380952381,8466.729137150865,0.955512456705377,1.0077884867927577e-06,5203.827131281229,0.067882913296672
136571.42857142858,7215.29725478551,0.954634944519832,1.171808323934142e-06,4392.7945065139775,0.0668885136415664
140047.61904761905,6163.216048310245,0.95360475535017,1.3831943537165989e-06,3710.5679852492544,0.067006715385326
143523.80952380953,5248.993453015444,0.9524020380395132,1.6108004531288635e-06,3118.969843881705,0.0659640824347927
147000.0,4503.488582395476,0.9510002011014488,1.8756802531743257e-06,2635.0984827173525,0.0653402209067346
150476.19047619047,3823.02200732631,0.9493522944181751,2.225288254138596e-06,2196.569265663015,0.0651625589977476
153952.38095238095,3276.7864025223216,0.9474391749637804,2.580675171550861e-06,1842.910771346302,0.0640498866555432
157428.57142857142,2793.1946493834603,0.9451974764394612,3.0167634663235114e-06,1531.6751726596017,0.0630124206529863
160904.7619047619,2391.568066234808,0.94258556132689,3.4850020271394906e-06,1272.791269609394,0.0614277981196077
164380.95238095237,2045.1807880457757,0.9395429124477264,4.030665879494e-06,1050.5209435072716,0.059765840432174
167857.14285714284,1744.03833196936,0.9359828908286756,4.7241580531964056e-06,858.6870695354437,0.0586362948620672
171333.33333333334,1492.0446120941117,0.931851270964406,5.454904005638639e-06,698.4152617629621,0.0567290176324549
174809.52380952382,1275.9161203969054,0.9270441664826728,6.321522759798541e-06,562.007904018478,0.0549214735519395
178285.7142857143,1088.9269773767132,0.9214409044622252,7.367224962575859e-06,445.4592374993398,0.0532198196613805
