,raw_rate,fidelity,fidelity_err,key_per_time,key_per_time_err
1000.0,646416.5896348554,0.9606530497122548,3.0030424698614403e-09,419715.3710158131,0.015983027579835
4158.730158730159,605863.0812902915,0.96065246671708,3.110228185185859e-09,393381.8265004471,0.0155149453204914
7317.460317460317,559673.5486372361,0.9606517644337146,3.522759034825614e-09,363388.77435900015,0.0162330221854203
10476.190476190475,508475.3149758469,0.9606509154938488,4.274466162947666e-09,330143.6230809657,0.0178949815650875
13634.920634920634,464198.3007980775,0.960649954228622,5.202518285961951e-09,301392.46831248206,0.0198835615383402
16793.65079365079,414334.3642802213,0.9606487825809836,6.502958976993347e-09,269013.91815484874,0.0221838061330586
19952.38095238095,367477.1521079436,0.9606474152486828,7.989989011585692e-09,238587.8107322796,0.0241739281769258
23111.11111111111,325904.28480850434,0.9606458376427348,9.718378619818513e-09,211592.9480198105,0.0260765827084619
26269.84126984127,287143.15170886647,0.9606439995601286,1.1727041894009756e-08,186423.9404129465,0.0277235729571889
29428.571428571428,251992.54102092417,0.9606418629651576,1.4124372456979365e-08,163599.41134934383,0.029303120003974
32587.301587301587,220271.14048788464,0.960639372796154,1.6743765277006838e-08,143001.628477466,0.0303641877201313
35746.031746031746,192132.6557049724,0.9606364920416814,2.0041348180350257e-08,124730.37608139167,0.031700932604163
38904.7619047619,167957.8358650042,0.9606331916483912,2.3413850596920763e-08,109032.79935250206,0.0323749385774372
42063.49206349206,146458.49072303707,0.9606293670069672,2.7450734676603506e-08,95072.5311199661,0.0330974874449476
45222.22222222222,127114.53259499915,0.9606249068408936,3.24032472983809e-08,82511.90773899548,0.0339077845560888
48380.95238095238,110116.1620637828,0.9606197321144494,3.785423520502502e-08,71474.37642670017,0.0343137906947654
51539.68253968254,95879.97069547191,0.9606138376936146,4.396924535180802e-08,62230.30772351116,0.034702893185945
54698.41269841269,82702.89659153055,0.9606068794698168,5.187382077511497e-08,53674.13912037618,0.0353135189881714
57857.142857142855,71762.61174081534,0.9605989487658902,5.986149852616546e-08,46570.26241658727,0.0353588909160756
61015.87301587301,62325.05826058789,0.9605898238416878,6.93943056110095e-08,40442.13664247555,0.0355973098559203
64174.60317460317,54282.95580069881,0.9605793723575546,8.00189760276045e-08,35220.060192219404,0.0357488130179187
67333.33333333333,46704.40486367892,0.9605669541074064,9.379258214136049e-08,30299.22397560896,0.0360497050218817
70492.06349206349,40419.26972645237,0.9605527961509748,1.0854728787592974e-07,26218.12481277272,0.0361034438795027
73650.79365079365,35070.746853768986,0.9605365503677706,1.2622162930925748e-07,22745.14335812985,0.0364234116446969
76809.5238095238,30407.8725229029,0.9605177704337348,1.451155310447574e-07,19717.38767151993,0.0363041523902821
79968.25396825396,26406.10640959425,0.9604961854542008,1.6841011145173886e-07,17118.87841795409,0.0365827656357367
83126.98412698413,22794.04043517386,0.960470911458408,1.9432710924356185e-07,14773.53191671287,0.0364332522212284
86285.71428571428,19744.5706943635,0.9604419592629316,2.255886818231945e-07,12793.427411152916,0.0366301190354177
89444.44444444444,17268.880830119888,0.9604093321628036,2.590594304170215e-07,11185.70214472161,0.0367838357153569
92603.1746031746,14883.745262875622,0.9603703938321844,2.988355318283579e-07,9637.070323718974,0.0365632238051735
95761.90476190476,12877.419773720532,0.96032579732654,3.461705815976611e-07,8334.334748100007,0.0366363007088527
98920.63492063491,11170.200724322433,0.9602746207667092,4.0135429791219387e-07,7225.766885270901,0.0368347632011621
102079.36507936507,9682.036689878209,0.9602154680864664,4.643371424068187e-07,6259.453939632722,0.0369255086207799
105238.09523809524,8356.542801943577,0.9601464820848704,5.333413685000818e-07,5398.853292364374,0.0365925847399712
108396.82539682538,7241.277491324695,0.9600675433482786,6.184561343426604e-07,4674.682169130212,0.0367532269567359
111555.55555555555,6249.696976498016,0.9599755363244452,7.163578519976577e-07,4030.904667494333,0.0367232196878782
114714.28571428571,5454.856608067376,0.9598721448702606,8.178052600571075e-07,3514.654092149054,0.0365708021510914
117873.01587301587,4668.966239752996,0.95974722563702,9.608390212483968e-07,3004.60553592634,0.0367518132876232
121031.74603174602,4082.9513365648486,0.9596099818245272,1.094364588818144e-06,2623.9184061628366,0.0365772928274535
124190.47619047618,3549.880801003602,0.9594497599964996,1.2601564539521926e-06,2277.7264918268493,0.0365872228455091
127349.20634920635,3063.2121632176622,0.95926161156578,1.4584564500014426e-06,1961.818207334354,0.0365019943448457
130507.9365079365,2649.8552402588907,0.9590455517612728,1.684294147458297e-06,1693.4669610534506,0.0364229302937297
133666.66666666666,2289.9699484190346,0.9587955078739926,1.9424586461002016e-06,1459.8601304535016,0.0362516430186269
136825.3968253968,1984.5676003856609,0.9585088096997448,2.2411777777777084e-06,1261.5790833668343,0.0361920601443973
139984.12698412698,1725.6836699134124,0.9581808582085388,2.5846164562193538e-06,1093.4422718090914,0.0362289246151335
143142.85714285713,1487.906599120397,0.9577950050740912,3.0028800307454604e-06,939.1846151992462,0.0362174441096914
146301.5873015873,1296.5622655028076,0.9573608419778727,3.457431098380311e-06,814.8737956060735,0.0362522677463675
149460.31746031746,1127.0636285474525,0.9568579988740632,3.9626425351509165e-06,704.803797496161,0.036020975378888
152619.0476190476,975.0341235826344,0.9562719018855916,4.563869185370388e-06,606.1810284590485,0.0357795352595969
155777.77777777778,845.7789359176973,0.9556003235787672,5.223927337013883e-06,522.3026488422767,0.0354002509354175
158936.50793650793,730.1517091825208,0.9548174360970278,6.080819699430135e-06,447.3795167443271,0.0354302048238119
