,raw_rate,fidelity,fidelity_err,key_per_time,key_per_time_err
1000.0,646717.5848973484,0.9606530517308766,2.9937659332001235e-09,419910.8126933056,0.0159410746348849
4158.730158730159,605104.197981937,0.9606524643667652,3.124888707336739e-09,392889.0824989827,0.0155685521472596
7317.460317460317,560385.4954083584,0.960651766490253,3.531608243482562e-09,363851.0381760344,0.0162945012801544
10476.190476190475,510760.7562562994,0.9606509265962432,4.253278828762535e-09,331627.5474546855,0.0178863153723855
13634.920634920634,462091.8885119792,0.960649940733286,5.222906594028963e-09,300024.7944001402,0.019870903180558
16793.65079365079,413934.75205605326,0.9606487811926052,6.5104426827137e-09,268754.4598473466,0.0221879153400374
19952.38095238095,368908.7240763428,0.9606474291419328,7.936935552560528e-09,239517.29831934083,0.0241069627117426
23111.11111111111,325725.943600948,0.9606458379555188,9.73897514991415e-09,211477.1607462657,0.0261175479626575
26269.84126984127,287687.5351704794,0.9606440082645624,1.16546938818966e-08,186777.38733298145,0.0276047733382775
29428.571428571428,252095.45342262575,0.960641862680731,1.4084798277011958e-08,163666.22409696225,0.0292329511462157
32587.301587301587,220050.1141432769,0.960639369332959,1.6917709859208966e-08,142858.13258802006,0.0306488446219339
35746.031746031746,192079.88181551505,0.9606364934247152,1.990150151050332e-08,124696.11724755494,0.0314710798602563
38904.7619047619,168464.598408194,0.9606332187660684,2.3364503105033917e-08,109361.79705825838,0.0324041822559252
42063.49206349206,145423.38414028584,0.9606292976383862,2.767484101718765e-08,94400.54609655184,0.0331318598391721
45222.22222222222,126075.2467503498,0.960624813429742,3.2489661250073735e-08,81837.23060121029,0.033720235303577
48380.95238095238,109932.2822376886,0.960619711205438,3.7995678688408017e-08,71355.01141870268,0.0343844899160176
51539.68253968254,95600.58548837762,0.960613790282801,4.399266401383752e-08,62048.95081791721,0.0346201980550079
54698.41269841269,82670.01038430109,0.9606068699013144,5.168504723177754e-08,53652.79186117938,0.0351710180892254
57857.142857142855,72240.80129498863,0.9605990818370662,5.91352374361601e-08,46880.63311496475,0.0351626695295167
61015.87301587301,62339.550489702255,0.960589828022212,6.917578002769605e-08,40451.54187136403,0.0354934640081114
64174.60317460317,54068.46628093552,0.9605792659390946,8.039375968397436e-08,35080.8643281936,0.0357743241791895
67333.33333333333,46751.371841094784,0.9605669857787656,9.371762129688868e-08,30329.701264419466,0.0360571192894613
70492.06349206349,40653.30742629783,0.9605529969289762,1.079251356555327e-07,26369.976889731435,0.0361043780941653
73650.79365079365,34953.812420647424,0.9605364144231864,1.2614154567945797e-07,22669.280720434148,0.0362789239219652
76809.5238095238,30561.30997533689,0.9605180046866172,1.4423678717509316e-07,19816.918495893085,0.0362664125172005
79968.25396825396,26365.62159983035,0.9604961037881772,1.6830886148237446e-07,17092.6211999581,0.0365047116618433
83126.98412698413,22965.91660396245,0.9604713803166424,1.9300983883937278e-07,14884.986361064412,0.0364591810567439
86285.71428571428,19847.825024296453,0.960442335379428,2.2567549955463722e-07,12860.36959577147,0.0368358772902095
89444.44444444444,17092.859389618356,0.9604084848004584,2.592379858182906e-07,11071.611013111116,0.036433926366619
92603.1746031746,14920.676426354885,0.960370629368846,2.9840715933932e-07,9661.001166865688,0.0366014246869763
95761.90476190476,12792.18991241271,0.9603250611830776,3.468287157099927e-07,8279.124513688756,0.0364629547895678
98920.63492063491,11163.523103910991,0.960274546126272,4.010511876028681e-07,7221.442938562489,0.0367849355280761
102079.36507936507,9663.050028361602,0.9602151798373748,4.6153147532162723e-07,6247.164545018271,0.0366303965227575
105238.09523809524,8321.759713919713,0.9601457733434317,5.359440162251239e-07,5376.350573078973,0.0366180412616349
108396.82539682538,7217.878751659982,0.9600669088754514,6.187818149304414e-07,4659.553084084974,0.0366537080932919
111555.55555555555,6271.532610380875,0.9599763259666908,7.157693685417721e-07,4045.0138287190393,0.0368213149028877
114714.28571428571,5450.045825931774,0.9598719156392236,8.191072869912731e-07,3511.547947760866,0.0365967044469658
117873.01587301587,4702.786179033553,0.9597494089280326,9.45032221018603e-07,3026.4227634910794,0.0364092116694252
121031.74603174602,4082.752467286633,0.9596099657475404,1.0973728214875107e-06,2623.790262728073,0.0366760502083609
124190.47619047618,3533.0511874545746,0.9594478619821012,1.2705296148188564e-06,2266.8933782952754,0.0367133644605542
127349.20634920635,3068.3291358363326,0.9592623823356118,1.4551265377523474e-06,1965.1075474291144,0.0364795489743917
130507.9365079365,2635.4999790653324,0.9590426413376606,1.6970166428002393e-06,1684.2533105099892,0.0364990251921733
133666.66666666666,2306.9174496119726,0.9588000522687392,1.9401674190862527e-06,1470.7180785315393,0.0364772004045033
136825.3968253968,1991.5863789571529,0.9585113276709316,2.245111806873796e-06,1266.0665990615914,0.0363840032480195
139984.12698412698,1732.6749123195505,0.9581841657894026,2.5747992837494115e-06,1097.9014330248406,0.0362377780789957
143142.85714285713,1499.5239150810914,0.9578023590981628,2.9823780163115344e-06,946.5738331529408,0.0362515618285927
146301.5873015873,1301.9596385568389,0.9573653278519983,3.411559933431374e-06,818.2956569762266,0.035920527981975
149460.31746031746,1119.3836259832206,0.9568494110861084,3.9762966412571545e-06,699.9524928127912,0.0358981815854764
152619.0476190476,973.3514563649474,0.9562694083424036,4.573203208985961e-06,605.1226820368647,0.0357906636173514
155777.77777777778,843.9620087951052,0.9555967703445708,5.256783717344871e-06,521.1655921300894,0.0355461339269349
158936.50793650793,731.7431741884603,0.9548215639215412,6.028713776135728e-06,448.3696916883716,0.0352034462401003
